#规范字	Unicode
逃	9003
食	98DF
盆	76C6
胆	80C6
胜	80DC
胞	80DE
胖	80D6
脉	8109
勉	52C9
狭	72ED
狮	72EE
独	72EC
狡	72E1
狱	72F1
狠	72E0
贸	8D38
怨	6028
急	6025
饶	9976
蚀	8680
饺	997A
饼	997C
弯	5F2F
将	5C06
奖	5956
哀	54C0
亭	4EAD
亮	4EAE
度	5EA6
迹	8FF9
庭	5EAD
疮	75AE
疯	75AF
疫	75AB
疤	75A4
姿	59FF
亲	4EB2
音	97F3
帝	5E1D
施	65BD
闻	95FB
阀	9600
阁	9601
差	5DEE
养	517B
美	7F8E
姜	59DC
叛	53DB
送	9001
类	7C7B
迷	8FF7
前	524D
首	9996
逆	9006
总	603B
炼	70BC
炸	70B8
炮	70AE
烂	70C2
剃	5243
洁	6D01
洪	6D2A
洒	6D12
浇	6D47
浊	6D4A
洞	6D1E
测	6D4B
洗	6D17
活	6D3B
派	6D3E
洽	6D3D
染	67D3
济	6D4E
洋	6D0B
洲	6D32
浑	6D51
浓	6D53
津	6D25
恒	6052
恢	6062
恰	6070
恼	607C
恨	6068
举	4E3E
觉	89C9
宣	5BA3
室	5BA4
宫	5BAB
宪	5BAA
突	7A81
穿	7A7F
窃	7A83
客	5BA2
冠	51A0
语	8BED
扁	6241
袄	8884
祖	7956
神	795E
祝	795D
误	8BEF
诱	8BF1
说	8BF4
诵	8BF5
垦	57A6
退	9000
既	65E2
屋	5C4B
昼	663C
费	8D39
陡	9661
眉	7709
孩	5B69
除	9664
险	9669
院	9662
娃	5A03
姥	59E5
姨	59E8
姻	59FB
娇	5A07
怒	6012
架	67B6
贺	8D3A
盈	76C8
勇	52C7
怠	6020
柔	67D4
垒	5792
绑	7ED1
绒	7ED2
结	7ED3
绕	7ED5
骄	9A84
绘	7ED8
给	7ED9
络	7EDC
骆	9A86
绝	7EDD
绞	7EDE
统	7EDF
耕	8015
耗	8017
艳	8273
泰	6CF0
珠	73E0
班	73ED
素	7D20
蚕	8695
顽	987D
盏	76CF
匪	532A
捞	635E
栽	683D
捕	6355
振	632F
载	8F7D
赶	8D76
起	8D77
盐	76D0
捎	634E
捏	634F
埋	57CB
捉	6349
捆	6346
捐	6350
损	635F
都	90FD
哲	54F2
逝	901D
捡	6361
换	6362
挽	633D
热	70ED
恐	6050
壶	58F6
挨	6328
耻	803B
耽	803D
恭	606D
莲	83B2
莫	83AB
荷	8377
获	83B7
晋	664B
恶	6076
真	771F
框	6846
桂	6842
档	6863
桐	6850
株	682A
桥	6865
桃	6843
格	683C
校	6821
核	6838
样	6837
根	6839
索	7D22
哥	54E5
速	901F
逗	9017
栗	6817
配	914D
翅	7FC5
辱	8FB1
唇	5507
夏	590F
础	7840
破	7834
原	539F
套	5957
逐	9010
烈	70C8
殊	6B8A
顾	987E
轿	8F7F
较	8F83
顿	987F
毙	6BD9
致	81F4
柴	67F4
桌	684C
虑	8651
监	76D1
紧	7D27
党	515A
晒	6652
眠	7720
晓	6653
鸭	9E2D
晃	6643
晌	664C
晕	6655
蚊	868A
哨	54E8
哭	54ED
恩	6069
唤	5524
啊	554A
唉	5509
罢	7F62
峰	5CF0
圆	5706
贼	8D3C
贿	8D3F
钱	94B1
钳	94B3
钻	94BB
铁	94C1
铃	94C3
铅	94C5
缺	7F3A
氧	6C27
特	7279
牺	727A
造	9020
乘	4E58
敌	654C
秤	79E4
租	79DF
积	79EF
秧	79E7
秩	79E9
称	79F0
秘	79D8
透	900F
笔	7B14
笑	7B11
笋	7B0B
债	503A
借	501F
值	503C
倚	501A
倾	503E
倒	5012
倘	5018
俱	4FF1
倡	5021
候	5019
俯	4FEF
倍	500D
倦	5026
健	5065
臭	81ED
射	5C04
躬	8EAC
息	606F
徒	5F92
徐	5F90
舰	8230
舱	8231
般	822C
航	822A
途	9014
拿	62FF
爹	7239
爱	7231
颂	9882
翁	7FC1
脆	8106
脂	8102
胸	80F8
胳	80F3
脏	810F
胶	80F6
脑	8111
狸	72F8
狼	72FC
逢	9022
留	7559
皱	76B1
饿	997F
恋	604B
桨	6868
浆	6D46
衰	8870
高	9AD8
席	5E2D
准	51C6
座	5EA7
脊	810A
症	75C7
病	75C5
疾	75BE
疼	75BC
疲	75B2
效	6548
离	79BB
唐	5510
资	8D44
凉	51C9
站	7AD9
剖	5256
竞	7ADE
部	90E8
旁	65C1
旅	65C5
畜	755C
阅	9605
羞	7F9E
瓶	74F6
拳	62F3
粉	7C89
料	6599
益	76CA
兼	517C
烤	70E4
烘	70D8
烦	70E6
烧	70E7
烛	70DB
烟	70DF
递	9012
涛	6D9B
浙	6D59
涝	6D9D
酒	9152
涉	6D89
消	6D88
浩	6D69
海	6D77
涂	6D82
浴	6D74
浮	6D6E
流	6D41
润	6DA6
浪	6D6A
浸	6D78
涨	6DA8
烫	70EB
涌	6D8C
悟	609F
悄	6084
悔	6094
悦	60A6
害	5BB3
宽	5BBD
家	5BB6
宵	5BB5
宴	5BB4
宾	5BBE
窄	7A84
容	5BB9
宰	5BB0
案	6848
请	8BF7
朗	6717
诸	8BF8
读	8BFB
扇	6247
袜	889C
袖	8896
袍	888D
被	88AB
祥	7965
课	8BFE
谁	8C01
调	8C03
冤	51A4
谅	8C05
谈	8C08
谊	8C0A
剥	5265
恳	6073
展	5C55
剧	5267
屑	5C51
弱	5F31
陵	9675
陶	9676
陷	9677
陪	966A
娱	5A31
娘	5A18
通	901A
能	80FD
难	96BE
预	9884
桑	6851
绢	7EE2
绣	7EE3
验	9A8C
继	7EE7
球	7403
理	7406
捧	6367
堵	5835
描	63CF
域	57DF
掩	63A9
捷	6377
排	6392
掉	6389
堆	5806
推	63A8
掀	6380
授	6388
教	6559
掏	638F
掠	63A0
培	57F9
接	63A5
控	63A7
探	63A2
据	636E
掘	6398
职	804C
基	57FA
著	8457
勒	52D2
黄	9EC4
萌	840C
萝	841D
菌	83CC
菜	83DC
萄	8404
菊	83CA
萍	840D
菠	83E0
营	8425
械	68B0
梦	68A6
梢	68A2
梅	6885
检	68C0
梳	68B3
梯	68AF
桶	6876
救	6551
副	526F
票	7968
戚	621A
爽	723D
聋	804B
袭	88AD
盛	76DB
雪	96EA
辅	8F85
辆	8F86
虚	865A
雀	96C0
堂	5802
常	5E38
匙	5319
晨	6668
睁	7741
眯	772F
眼	773C
悬	60AC
野	91CE
啦	5566
晚	665A
啄	5544
距	8DDD
跃	8DC3
略	7565
蛇	86C7
累	7D2F
唱	5531
患	60A3
唯	552F
崖	5D16
崭	5D2D
崇	5D07
圈	5708
铜	94DC
铲	94F2
银	94F6
甜	751C
梨	68A8
犁	7281
移	79FB
笨	7B28
笼	7B3C
笛	7B1B
符	7B26
第	7B2C
敏	654F
做	505A
袋	888B
悠	60A0
偿	507F
偶	5076
偷	5077
您	60A8
售	552E
停	505C
偏	504F
假	5047
得	5F97
衔	8854
盘	76D8
船	8239
斜	659C
盒	76D2
鸽	9E3D
悉	6089
欲	6B32
彩	5F69
领	9886
脚	811A
脖	8116
脸	8138
脱	8131
象	8C61
够	591F
猜	731C
猪	732A
猎	730E
猫	732B
猛	731B
馅	9985
馆	9986
凑	51D1
减	51CF
毫	6BEB
麻	9EBB
痒	75D2
痕	75D5
廊	5ECA
康	5EB7
庸	5EB8
鹿	9E7F
盗	76D7
章	7AE0
竟	7ADF
商	5546
族	65CF
旋	65CB
望	671B
率	7387
着	7740
盖	76D6
粘	7C98
粗	7C97
粒	7C92
断	65AD
剪	526A
兽	517D
清	6E05
添	6DFB
淋	6DCB
淹	6DF9
渠	6E20
渐	6E10
混	6DF7
渔	6E14
淘	6DD8
液	6DB2
淡	6DE1
深	6DF1
婆	5A46
梁	6881
渗	6E17
情	60C5
惜	60DC
惭	60ED
悼	60BC
惧	60E7
惕	60D5
惊	60CA
惨	60E8
惯	60EF
寇	5BC7
寄	5BC4
宿	5BBF
窑	7A91
密	5BC6
谋	8C0B
谎	8C0E
祸	7978
谜	8C1C
逮	902E
敢	6562
屠	5C60
弹	5F39
随	968F
蛋	86CB
隆	9686
隐	9690
婚	5A5A
婶	5A76
颈	9888
绩	7EE9
绪	7EEA
续	7EED
骑	9A91
绳	7EF3
维	7EF4
绵	7EF5
绸	7EF8
绿	7EFF
琴	7434
斑	6591
替	66FF
款	6B3E
堪	582A
搭	642D
塔	5854
越	8D8A
趁	8D81
趋	8D8B
超	8D85
提	63D0
堤	5824
博	535A
揭	63ED
喜	559C
插	63D2
揪	63EA
搜	641C
煮	716E
援	63F4
裁	88C1
搁	6401
搂	6402
搅	6405
握	63E1
揉	63C9
斯	65AF
期	671F
欺	6B3A
联	8054
散	6563
惹	60F9
葬	846C
葛	845B
董	8463
葡	8461
敬	656C
葱	8471
落	843D
朝	671D
辜	8F9C
葵	8475
棒	68D2
棋	68CB
植	690D
森	68EE
椅	6905
椒	6912
棵	68F5
棍	68CD
棉	68C9
棚	68DA
棕	68D5
惠	60E0
惑	60D1
逼	903C
厨	53A8
厦	53A6
硬	786C
确	786E
雁	96C1
殖	6B96
裂	88C2
雄	96C4
暂	6682
雅	96C5
辈	8F88
悲	60B2
紫	7D2B
辉	8F89
敞	655E
赏	8D4F
掌	638C
晴	6674
暑	6691
最	6700
量	91CF
喷	55B7
晶	6676
喇	5587
遇	9047
喊	558A
景	666F
践	8DF5
跌	8DCC
跑	8DD1
遗	9057
蛙	86D9
蛛	86DB
蜓	8713
喝	559D
喂	5582
喘	5598
喉	5589
幅	5E45
帽	5E3D
赌	8D4C
赔	8D54
黑	9ED1
铸	94F8
铺	94FA
链	94FE
销	9500
锁	9501
锄	9504
锅	9505
锈	9508
锋	950B
锐	9510
短	77ED
智	667A
毯	6BEF
鹅	9E45
剩	5269
稍	7A0D
程	7A0B
稀	7A00
税	7A0E
筐	7B50
等	7B49
筑	7B51
策	7B56
筛	7B5B
筒	7B52
答	7B54
筋	7B4B
筝	7B5D
傲	50B2
傅	5085
牌	724C
堡	5821
集	96C6
焦	7126
傍	508D
储	50A8
奥	5965
街	8857
惩	60E9
御	5FA1
循	5FAA
艇	8247
舒	8212
番	756A
释	91CA
禽	79BD
腊	814A
脾	813E
腔	8154
鲁	9C81
猾	733E
猴	7334
然	7136
馋	998B
装	88C5
蛮	86EE
就	5C31
痛	75DB
童	7AE5
阔	9614
善	5584
羡	7FA1
普	666E
粪	7CAA
尊	5C0A
道	9053
曾	66FE
焰	7130
港	6E2F
湖	6E56
渣	6E23
湿	6E7F
温	6E29
渴	6E34
滑	6ED1
湾	6E7E
渡	6E21
游	6E38
滋	6ECB
溉	6E89
愤	6124
慌	614C
惰	60F0
愧	6127
愉	6109
慨	6168
割	5272
寒	5BD2
富	5BCC
窜	7A9C
窝	7A9D
窗	7A97
遍	904D
裕	88D5
裤	88E4
裙	88D9
谢	8C22
谣	8C23
谦	8C26
属	5C5E
屡	5C61
强	5F3A
粥	7CA5
疏	758F
隔	9694
隙	9699
絮	7D6E
嫂	5AC2
登	767B
缎	7F0E
缓	7F13
编	7F16
骗	9A97
缘	7F18
瑞	745E
