#古籍字	Unicode	序号
罐	07F50	03090
鱹	09C79	03091
光	05149	03092
侊	04F8A	03093
洸	06D38	03094
桄	06844	03095
胱	080F1	03096
輄	08F04	03097
廣	05EE3	03098
獷	07377	03099
俇	04FC7	03100
逛	0901B	03101
圭	0572D	03102
邽	090BD	03103
皈	07688	03104
珪	073EA	03105
規	0898F	03106
傀	05080	03107
窐	07A90	03108
袿	088BF	03109
廆	05EC6	03110
瑰	07470	03111
摫	0646B	03112
閨	095A8	03113
槻	069FB	03114
嬀	05B00	03115
瞡	077A1	03116
龜	09F9C	03117
鮭	09BAD	03118
歸	06B78	03119
𩷪	29DEA	03120
騩	09A29	03121
䲅	04C85	03122
氿	06C3F	03123
宄	05B84	03124
庋	05E8B	03125
佹	04F79	03126
陒	09652	03127
垝	0579D	03128
軌	08ECC	03129
鬼	09B3C	03130
恑	06051	03131
姽	059FD	03132
癸	07678	03133
匭	0532D	03134
晷	06677	03135
蛫	086EB	03136
湀	06E40	03137
詭	08A6D	03138
厬	053AC	03139
簋	07C0B	03140
蟡	087E1	03141
攰	06530	03142
昋	0660B	03143
炔	07094	03144
桂	06842	03145
貴	08CB4	03146
筀	07B40	03147
猤	07324	03148
𧵥	27D65	03149
跪	08DEA	03150
撌	0648C	03151
劌	0528C	03152
劊	0528A	03153
䳏	04CCF	03154
檜	06A9C	03155
禬	079AC	03156
櫃	06AC3	03157
癐	07650	03158
襘	08958	03159
䞈	04788	03160
鞼	097BC	03161
鱖	09C56	03162
衮	0886E	03163
蓘	084D8	03164
䃂	040C2	03165
滚	06EDA	03166
𩨬	29A2C	03167
緄	07DC4	03168
輥	08F25	03169
㯻	03BFB	03170
鯀	09BC0	03171
棍	068CD	03172
睔	07754	03173
郭	090ED	03174
堝	0581D	03175
崞	05D1E	03176
聒	08052	03177
瘑	07611	03178
嘓	05613	03179
㗻	035FB	03180
濄	06FC4	03181
鍋	0934B	03182
蟈	087C8	03183
彍	05F4D	03184
國	0570B	03185
摑	06451	03186
蔮	0852E	03187
𦸈	26E08	03188
幗	05E57	03189
虢	08662	03190
膕	08195	03191
簂	07C02	03192
馘	09998	03193
㶁	03D81	03194
果	0679C	03195
𠜴	20734	03196
猓	07313	03197
惈	060C8	03198
椁	06901	03199
蜾	0873E	03200
裹	088F9	03201
粿	07CBF	03202
錁	09301	03203
過	0904E	03204
咍	0548D	03205
嗨	055E8	03206
孩	05B69	03207
骸	09AB8	03208
海	06D77	03209
醢	091A2	03210
亥	04EA5	03211
妎	0598E	03212
㤥	03925	03213
害	05BB3	03214
嗐	055D0	03215
駭	099ED	03216
蚶	086B6	03217
頇	09807	03218
酣	09163	03219
谽	08C3D	03220
憨	061A8	03221
鼾	09F3E	03222
邗	09097	03223
邯	090AF	03224
含	0542B	03225
函	051FD	03226
虷	08677	03227
㟏	037CF	03228
琀	07400	03229
㖤	035A4	03230
崡	05D21	03231
涵	06DB5	03232
寒	05BD2	03233
甝	0751D	03234
䈄	04204	03235
韓	097D3	03236
罕	07F55	03237
䓍	044CD	03238
焊	0710A	03239
喊	0558A	03240
蔊	0850A	03241
㯺	03BFA	03242
豃	08C43	03243
鬫	09B2B	03244
㘚	0361A	03245
扞	0625E	03246
汗	06C57	03247
旱	065F1	03248
𤽂	24F42	03249
垾	057BE	03250
捍	0634D	03251
唅	05505	03252
涆	06D86	03253
浛	06D5B	03254
悍	0608D	03255
菡	083E1	03256
閈	09588	03257
淊	06DCA	03258
㨔	03A14	03259
睅	07745	03260
馯	099AF	03261
漢	06F22	03262
暵	066B5	03263
銲	092B2	03264
熯	071AF	03265
撼	064BC	03266
翰	07FF0	03267
頷	09837	03268
憾	061BE	03269
駻	099FB	03270
䗣	045E3	03271
顄	09844	03272
雗	096D7	03273
𪁟	2A05F	03274
瀚	0701A	03275
䮧	04BA7	03276
夯	0592F	03277
㬻	03B3B	03278
行	0884C	03279
苀	082C0	03280
吭	0542D	03281
迒	08FD2	03282
杭	0676D	03283
𣃚	230DA	03284
蚢	086A2	03285
䘕	04615	03286
航	0822A	03287
䲳	04CB3	03288
沆	06C86	03289
茠	08320	03290
蒿	084BF	03291
薅	08585	03292
嚆	05686	03293
呺	0547A	03294
毫	06BEB	03295
號	0865F	03296
嗥	055E5	03297
豪	08C6A	03298
諕	08AD5	03299
壕	058D5	03300
㩝	03A5D	03301
嚎	0568E	03302
濠	06FE0	03303
蠔	08814	03304
好	0597D	03305
郝	090DD	03306
号	053F7	03307
昊	0660A	03308
耗	08017	03309
浩	06D69	03310
淏	06DCF	03311
皓	07693	03312
鄗	09117	03313
滈	06EC8	03314
皞	0769E	03315
皜	0769C	03316
澔	06F94	03317
鎬	093AC	03318
顥	09865	03319
灝	0705D	03320
呵	05475	03321
訶	08A36	03322
䶎	04D8E	03323
𪖨	2A5A8	03324
禾	079BE	03325
合	05408	03326
何	04F55	03327
和	0548C	03328
郃	090C3	03329
𠗂	205C2	03330
劾	052BE	03331
河	06CB3	03332
垎	0578E	03333
曷	066F7	03334
紇	07D07	03335
盍	076CD	03336
荷	08377	03337
核	06838	03338
盉	076C9	03339
菏	083CF	03340
蚵	086B5	03341
盒	076D2	03342
渮	06E2E	03343
涸	06DB8	03344
毼	06BFC	03345
貉	08C89	03346
麧	09EA7	03347
㿥	03FE5	03348
頜	0981C	03349
翮	07FEE	03350
螛	0879B	03351
鞨	097A8	03352
礉	07909	03353
齕	09F55	03354
䳚	04CDA	03355
闔	095D4	03356
覈	08988	03357
䶅	04D85	03358
龢	09FA2	03359
賀	08CC0	03360
嗃	055C3	03361
赫	08D6B	03362
熇	07187	03363
𣻵	23EF5	03364
褐	08910	03365
翯	07FEF	03366
壑	058D1	03367
嚇	05687	03368
謞	08B1E	03369
鶴	09DB4	03370
黑	09ED1	03371
拫	062EB	03372
痕	075D5	03373
佷	04F77	03374
哏	054CF	03375
很	05F88	03376
䓳	044F3	03377
恨	06068	03378
亨	04EA8	03379
哼	054FC	03380
脝	0811D	03381
恆	06046	03382
姮	059EE	03383
珩	073E9	03384
桁	06841	03385
胻	080FB	03386
䯒	04BD2	03387
橫	06A6B	03388
衡	08861	03389
蘅	08605	03390
啈	05548	03391
吽	0543D	03392
哄	054C4	03393
哅	054C5	03394
訇	08A07	03395
烘	070D8	03396
硡	07861	03397
渹	06E39	03398
𥔀	25500	03399
谾	08C3E	03400
薨	085A8	03401
𦒃	26483	03402
嚝	0569D	03403
鍧	09367	03404
𤃫	240EB	03405
轟	08F5F	03406
弘	05F18	03407
玒	07392	03408
𡵓	21D53	03409
汯	06C6F	03410
宏	05B8F	03411
泓	06CD3	03412
虹	08679	03413
竑	07AD1	03414
洪	06D2A	03415
紅	07D05	03416
耾	0803E	03417
翃	07FC3	03418
浤	06D64	03419
紘	07D18	03420
谹	08C39	03421
葒	08452	03422
閎	0958E	03423
鈜	0921C	03424
竤	07AE4	03425
渱	06E31	03426
谼	08C3C	03427
鞃	09783	03428
䃔	040D4	03429
魟	09B5F	03430
篊	07BCA	03431
鋐	092D0	03432
蕻	0857B	03433
霐	09710	03434
彋	05F4B	03435
𩶥	29DA5	03436
鴻	09D3B	03437
䬝	04B1D	03438
黌	09ECC	03439
嗊	055CA	03440
𠳃	20CC3	03441
訌	08A0C	03442
澒	06F92	03443
澋	06F8B	03444
鬨	09B28	03445
齁	09F41	03446
侯	04FAF	03447
鄇	09107	03448
喉	05589	03449
猴	07334	03450
篌	07BCC	03451
糇	07CC7	03452
翭	07FED	03453
鍭	0936D	03454
餱	09931	03455
䳧	04CE7	03456
鯸	09BF8	03457
吼	0543C	03458
㖃	03583	03459
㸸	03E38	03460
后	0540E	03461
郈	090C8	03462
厚	0539A	03463
垕	05795	03464
逅	09005	03465
後	05F8C	03466
候	05019	03467
𥅠	25160	03468
堠	05820	03469
豞	08C5E	03470
䞀	04780	03471
鱟	09C5F	03472
乎	04E4E	03473
垀	05780	03474
昒	06612	03475
呼	0547C	03476
曶	066F6	03477
忽	05FFD	03478
𠦪	209AA	03479
虖	08656	03480
唿	0553F	03481
㳷	03CF7	03482
淴	06DF4	03483
惚	060DA	03484
滹	06EF9	03485
幠	05E60	03486
膴	081B4	03487
𩶈	29D88	03488
抇	06287	03489
囫	056EB	03490
狐	072D0	03491
弧	05F27	03492
胡	080E1	03493
㪶	03AB6	03494
斛	0659B	03495
搰	06430	03496
壺	058FA	03497
葫	0846B	03498
㗅	035C5	03499
猢	07322	03500
湖	06E56	03501
瑚	0745A	03502
蔛	0851B	03503
槲	069F2	03504
蝴	08774	03505
箶	07BB6	03506
衚	0885A	03507
魱	09B71	03508
糊	07CCA	03509
𧏚	273DA	03510
縠	07E20	03511
醐	09190	03512
䭅	04B45	03513
觳	089F3	03514
餬	0992C	03515
鵠	09D60	03516
鬍	09B0D	03517
瀫	0702B	03518
鶘	09D98	03519
鶻	09DBB	03520
鰗	09C17	03521
虎	0864E	03522
琥	07425	03523
䗂	045C2	03524
箎	07B8E	03525
滸	06EF8	03526
互	04E92	03527
户	06237	03528
芐	08290	03529
冱	051B1	03530
枑	06791	03531
昈	06608	03532
岵	05CB5	03533
怙	06019	03534
戽	0623D	03535
祜	0795C	03536
㱿	03C7F	03537
䇘	041D8	03538
笏	07B0F	03539
瓠	074E0	03540
扈	06248	03541
婟	05A5F	03542
楛	0695B	03543
嗀	055C0	03544
綔	07D94	03545
鄠	09120	03546
㨭	03A2D	03547
蔰	08530	03548
滬	06EEC	03549
寣	05BE3	03550
嫭	05AED	03551
槴	069F4	03552
鳸	09CF8	03553
豰	08C70	03554
嚛	0569B	03555
護	08B77	03556
䨼	04A3C	03557
韄	097C4	03558
鸌	09E0C	03559
鱯	09C6F	03560
花	082B1	03561
蘤	08624	03562
㕲	03572	03563
咶	054B6	03564
華	083EF	03565
猾	0733E	03566
滑	06ED1	03567
嘩	05629	03568
螖	08796	03569
𦽊	26F4A	03570
鏵	093F5	03571
驊	09A4A	03572
䱻	04C7B	03573
鷨	09DE8	03574
化	05316	03575
杹	06779	03576
崋	05D0B	03577
畫	0756B	03578
話	08A71	03579
摦	06466	03580
樺	06A3A	03581
劃	05283	03582
槬	069EC	03583
㗲	035F2	03584
澅	06F85	03585
嫿	05AFF	03586
繣	07E63	03587
𩸄	29E04	03588
蘳	08633	03589
徊	05F8A	03590
淮	06DEE	03591
槐	069D0	03592
踝	08E1D	03593
㠢	03822	03594
瀤	07024	03595
懷	061F7	03596
櫰	06AF0	03597
䃶	040F6	03598
蘹	08639	03599
𣸎	23E0E	03600
壞	058DE	03601
鴅	09D05	03602
鵍	09D4D	03603
酄	09144	03604
獾	0737E	03605
歡	06B61	03606
䑏	0444F	03607
貛	08C9B	03608
讙	08B99	03609
驩	09A69	03610
鸛	09E1B	03611
㡲	03872	03612
荁	08341	03613
狟	072DF	03614
洹	06D39	03615
垸	057B8	03616
桓	06853	03617
萈	08408	03618
梡	068A1	03619
雈	096C8	03620
貆	08C86	03621
獂	07342	03622
綄	07D84	03623
𦼉	26F09	03624
還	09084	03625
澴	06FB4	03626
寰	05BF0	03627
嬛	05B1B	03628
環	074B0	03629
鍰	09370	03630
繯	07E6F	03631
闤	095E4	03632
鐶	09436	03633
鬟	09B1F	03634
瓛	074DB	03635
䴉	04D09	03636
㬊	03B0A	03637
緩	07DE9	03638
幻	05E7B	03639
𤴯	24D2F	03640
奐	05950	03641
宦	05BA6	03642
浣	06D63	03643
患	060A3	03644
逭	0902D	03645
換	063DB	03646
睆	07746	03647
喚	0559A	03648
渙	06E19	03649
瑍	0744D	03650
豢	08C62	03651
煥	07165	03652
漶	06F36	03653
槵	069F5	03654
擐	064D0	03655
澣	06FA3	03656
䍺	0437A	03657
䴷	04D37	03658
鯇	09BC7	03659
攌	0650C	03660
轘	08F58	03661
嚾	056BE	03662
巟	05DDF	03663
肓	08093	03664
荒	08352	03665
衁	08841	03666
䀮	0402E	03667
㡛	0385B	03668
慌	0614C	03669
𥉂	25242	03670
皇	07687	03671
偟	0505F	03672
𨜔	28714	03673
凰	051F0	03674
隍	0968D	03675
揘	063D8	03676
黃	09EC3	03677
葟	0845F	03678
喤	055A4	03679
遑	09051	03680
徨	05FA8	03681
湟	06E5F	03682
惶	060F6	03683
煌	0714C	03684
潢	06F62	03685
璜	0749C	03686
蝗	08757	03687
篁	07BC1	03688
艎	0824E	03689
蟥	087E5	03690
簧	07C27	03691
鍠	09360	03692
餭	0992D	03693
趪	08DAA	03694
騜	09A1C	03695
鐄	09404	03696
𤰀	24C00	03697
鰉	09C09	03698
鱑	09C51	03699
𦬺	26B3A	03700
怳	06033	03701
炾	070BE	03702
恍	0604D	03703
晃	06643	03704
幌	05E4C	03705
𦟮	267EE	03706
謊	08B0A	03707
𣄙	23119	03708
櫎	06ACE	03709
爌	0720C	03710
滉	06EC9	03711
愰	06130	03712
榥	069A5	03713
皝	0769D	03714
灰	07070	03715
恢	06062	03716
豗	08C57	03717
倠	05020	03718
眭	0772D	03719
揮	063EE	03720
𤟤	247E4	03721
𧱉	27C49	03722
暉	06689	03723
䖶	045B6	03724
詼	08A7C	03725
煇	07147	03726
幑	05E51	03727
褘	08918	03728
撝	0649D	03729
輝	08F1D	03730
噅	05645	03731
㺔	03E94	03732
麾	09EBE	03733
翬	07FEC	03734
徽	05FBD	03735
隳	096B3	03736
𩻟	29EDF	03737
鰴	09C34	03738
回	056DE	03739
佪	04F6A	03740
茴	08334	03741
迴	08FF4	03742
洄	06D04	03743
恛	0605B	03744
蛔	086D4	03745
鮰	09BB0	03746
虺	0867A	03747
𠧩	209E9	03748
悔	06094	03749
𤈦	24226	03750
毁	06BC1	03751
毇	06BC7	03752
檓	06A93	03753
燬	071EC	03754
卉	05349	03755
泋	06CCB	03756
恚	0605A	03757
彗	05F57	03758
晦	06666	03759
惠	060E0	03760
喙	05599	03761
匯	0532F	03762
賄	08CC4	03763
會	06703	03764
彙	05F59	03765
嘒	05612	03766
誨	08AA8	03767
瘣	07623	03768
慧	06167	03769
蕙	08559	03770
暳	066B3	03771
螝	0879D	03772
圚	0571A	03773
潓	06F53	03774
嬇	05B07	03775
薉	08589	03776
薈	08588	03777
橞	06A5E	03778
𡼾	21F3E	03779
頮	0982E	03780
獩	07369	03781
諱	08AF1	03782
濊	06FCA	03783
嬒	05B12	03784
篲	07BF2	03785
燴	071F4	03786
嚖	05696	03787
蟪	087EA	03788
穢	07A62	03789
繢	07E62	03790
翽	07FFD	03791
譓	08B53	03792
䜋	0470B	03793
繪	07E6A	03794
闠	095E0	03795
鏸	093F8	03796
𧬨	27B28	03797
靧	09767	03798
鐬	0942C	03799
䎚	0439A	03800
顪	0986A	03801
䵻	04D7B	03802
昏	0660F	03803
𠉣	20263	03804
涽	06DBD	03805
惛	060DB	03806
婚	05A5A	03807
葷	08477	03808
棔	068D4	03809
殙	06B99	03810
閽	095BD	03811
㑮	0346E	03812
湷	06E77	03813
渾	06E3E	03814
琿	0743F	03815
魂	09B42	03816
㨡	03A21	03817
楎	0694E	03818
腪	0816A	03819
餛	0991B	03820
䮝	04B9D	03821
鼲	09F32	03822
眃	07703	03823
俒	04FD2	03824
圂	05702	03825
倱	05031	03826
掍	0638D	03827
混	06DF7	03828
溷	06EB7	03829
慁	06141	03830
諢	08AE2	03831
䫟	04ADF	03832
鯶	09BF6	03833
耠	08020	03834
劐	05290	03835
騞	09A1E	03836
佸	04F78	03837
活	06D3B	03838
姡	059E1	03839
秳	079F3	03840
火	0706B	03841
伙	04F19	03842
夥	05925	03843
䴹	04D39	03844
㘞	0361E	03845
或	06216	03846
泧	06CE7	03847
捇	06347	03848
眓	07713	03849
剨	05268	03850
𡿿	21FFF	03851
貨	08CA8	03852
惑	060D1	03853
𣄸	23138	03854
湱	06E71	03855
禍	0798D	03856
蒦	084A6	03857
𤬁	24B01	03858
𦞦	267A6	03859
䁨	04068	03860
㦎	0398E	03861
𨘌	2860C	03862
奯	0596F	03863
霍	0970D	03864
嚄	05684	03865
獲	07372	03866
濩	06FE9	03867
檴	06AB4	03868
𧯆	27BC6	03869
雘	096D8	03870
謋	08B0B	03871
𤐰	24430	03872
豁	08C41	03873
礊	0790A	03874
䨥	04A25	03875
矆	077C6	03876
矱	077F1	03877
穫	07A6B	03878
𧞤	277A4	03879
攉	06509	03880
藿	085FF	03881
蠖	08816	03882
瀖	07016	03883
㸌	03E0C	03884
矐	077D0	03885
鑊	0944A	03886
靃	09743	03887
䂄	04084	03888
几	051E0	03889
丌	04E0C	03890
卟	0535F	03891
𥝌	2574C	03892
圾	0573E	03893
芨	082A8	03894
机	0673A	03895
乩	04E69	03896
刏	0520F	03897
肌	0808C	03898
枅	06785	03899
虮	0866E	03900
㚻	036BB	03901
剞	0525E	03902
唧	05527	03903
笄	07B04	03904
飢	098E2	03905
屐	05C50	03906
姬	059EC	03907
基	057FA	03908
𨊻	282BB	03909
聐	08050	03910
攲	06532	03911
犄	07284	03912
嵇	05D47	03913
幾	05E7E	03914
𣪠	23AA0	03915
畸	07578	03916
稘	07A18	03917
䇫	041EB	03918
箕	07B95	03919
僟	050DF	03920
銈	09288	03921
踑	08E11	03922
嘰	05630	03923
稽	07A3D	03924
䈕	04215	03925
觭	089ED	03926
畿	0757F	03927
璣	074A3	03928
機	06A5F	03929
墼	058BC	03930
積	07A4D	03931
錤	09324	03932
激	06FC0	03933
襀	08940	03934
禨	079A8	03935
隮	096AE	03936
䩭	04A6D	03937
擊	064CA	03938
磯	078EF	03939
𧐐	27410	03940
櫅	06AC5	03941
雞	096DE	03942
䪡	04AA1	03943
譏	08B4F	03944
轚	08F5A	03945
鐖	09416	03946
饑	09951	03947
鞿	097BF	03948
躋	08E8B	03949
齎	09F4E	03950
羇	07F87	03951
齏	09F4F	03952
羈	07F88	03953
𧆌	2718C	03954
亼	04EBC	03955
及	053CA	03956
尐	05C10	03957
伋	04F0B	03958
吉	05409	03959
岌	05C8C	03960
彶	05F76	03961
汲	06C72	03962
忣	05FE3	03963
极	06781	03964
皀	07680	03965
佶	04F76	03966
𠙆	20646	03967
亟	04E9F	03968
笈	07B08	03969
卽	0537D	03970
𠙏	2064F	03971
狤	072E4	03972
急	06025	03973
姞	059DE	03974
級	07D1A	03975
𤥐	24950	03976
揤	063E4	03977
𨛳	286F3	03978
觙	089D9	03979
疾	075BE	03980
堲	05832	03981
𠦫	209AB	03982
谻	08C3B	03983
庴	05EB4	03984
㥛	0395B	03985
極	06975	03986
棘	068D8	03987
殛	06B9B	03988
戢	06222	03989
集	096C6	03990
湒	06E52	03991
塉	05849	03992
𢱣	22C63	03993
蒺	084BA	03994
楫	0696B	03995
蝍	0874D	03996
嵴	05D74	03997
嫉	05AC9	03998
耤	08024	03999
槉	069C9	04000
膌	0818C	04001
蕀	08540	04002
蕺	0857A	04003
踖	08E16	04004
㗱	035F1	04005
㠍	0380D	04006
瘠	07620	04007
濈	06FC8	04008
潗	06F57	04009
䣢	048E2	04010
輯	08F2F	04011
𧤏	2790F	04012
蹐	08E50	04013
㸅	03E05	04014
襋	0894B	04015
𧥄	27944	04016
霵	09735	04017
籍	07C4D	04018
鏶	093F6	04019
鶺	09DBA	04020
鷑	09DD1	04021
雧	096E7	04022
䯂	04BC2	04023
己	05DF1	04024
丮	04E2E	04025
泲	06CF2	04026
脊	0810A	04027
掎	0638E	04028
戟	0621F	04029
𢜭	2272D	04030
給	07D66	04031
麂	09E82	04032
魢	09B62	04033
撠	064A0	04034
擠	064E0	04035
穖	07A56	04036
濟	06FDF	04037
蟣	087E3	04038
䤒	04912	04039
𩯋	29BCB	04040
旡	065E1	04041
㞦	037A6	04042
䢋	0488B	04043
伎	04F0E	04044
技	06280	04045
芰	082B0	04046
忌	05FCC	04047
妓	05993	04048
季	05B63	04049
垍	0578D	04050
茍	0830D	04051
峜	05CDC	04052
計	08A08	04053
迹	08FF9	04054
洎	06D0E	04055
紀	07D00	04056
𦮼	26BBC	04057
記	08A18	04058
紒	07D12	04059
𨜒	28712	04060
𠴫	20D2B	04061
旣	065E3	04062
徛	05F9B	04063
祭	0796D	04064
悸	060B8	04065
寄	05BC4	04066
寂	05BC2	04067
㠱	03831	04068
惎	060CE	04069
臮	081EE	04070
勣	052E3	04071
裚	088DA	04072
䟱	047F1	04073
跡	08DE1	04074
鬾	09B3E	04075
痵	075F5	04076
際	0969B	04077
㨳	03A33	04078
㮨	03BA8	04079
跽	08DFD	04080
䗁	045C1	04081
㹄	03E44	04082
穊	07A4A	04083
墍	0588D	04084
魥	09B65	04085
誋	08A8B	04086
漈	06F08	04087
漃	06F03	04088
禝	0799D	04089
㡭	0386D	04090
諅	08AC5	04091
稷	07A37	04092
髻	09AFB	04093
薊	0858A	04094
冀	05180	04095
穄	07A44	04096
曁	066C1	04097
劑	05291	04098
薺	085BA	04099
檕	06A95	04100
𢢞	2289E	04101
嚌	0568C	04102
覬	089AC	04103
罽	07F7D	04104
績	07E3E	04105
櫭	06AED	04106
檵	06AB5	04107
蹟	08E5F	04108
鯽	09BFD	04109
齌	09F4C	04110
鵋	09D4B	04111
穧	07A67	04112
鯚	09BDA	04113
癠	07660	04114
懻	061FB	04115
𩥉	29949	04116
蘮	0862E	04117
瀱	07031	04118
鱀	09C40	04119
繼	07E7C	04120
𨣧	288E7	04121
蘻	0863B	04122
霽	0973D	04123
鰿	09C3F	04124
鰶	09C36	04125
𦇧	261E7	04126
䰏	04C0F	04127
鱭	09C6D	04128
驥	09A65	04129
䶩	04DA9	04130
加	052A0	04131
夾	0593E	04132
𡶐	21D90	04133
佳	04F73	04134
泇	06CC7	04135
迦	08FE6	04136
珈	073C8	04137
枷	067B7	04138
痂	075C2	04139
浹	06D79	04140
家	05BB6	04141
耞	0801E	04142
梜	0689C	04143
笳	07B33	04144
𧉪	2726A	04145
袈	08888	04146
葭	0846D	04147
𨔣	28523	04148
跏	08DCF	04149
傢	050A2	04150
猳	07333	04151
犌	0728C	04152
腵	08175	04153
𣮫	23BAB	04154
嘉	05609	04155
鉿	0927F	04156
豭	08C6D	04157
貑	08C91	04158
麚	09E9A	04159
圿	0573F	04160
扴	06274	04161
忦	05FE6	04162
郟	090DF	04163
恝	0605D	04164
莢	083A2	04165
唊	0550A	04166
戛	0621B	04167
脥	08125	04168
袷	088B7	04169
裌	088CC	04170
跲	08DF2	04171
蛺	086FA	04172
骱	09AB1	04173
䛟	046DF	04174
擖	064D6	04175
鋏	092CF	04176
𩛩	296E9	04177
頰	09830	04178
鵊	09D4A	04179
𪇷	2A1F7	04180
甲	07532	04181
岬	05CAC	04182
玾	073BE	04183
胛	080DB	04184
叚	053DA	04185
假	05047	04186
斝	0659D	04187
徦	05FA6	04188
椵	06935	04189
鉀	09240	04190
榎	0698E	04191
瘕	07615	04192
檟	06A9F	04193
架	067B6	04194
幏	05E4F	04195
嫁	05AC1	04196
稼	07A3C	04197
價	050F9	04198
駕	099D5	04199
幵	05E75	04200
尖	05C16	04201
玕	07395	04202
玪	073AA	04203
肩	080A9	04204
姦	059E6	04205
兼	0517C	04206
菅	083C5	04207
菺	083FA	04208
堅	05805	04209
豜	08C5C	04210
猏	0730F	04211
靬	0976C	04212
䓸	044F8	04213
葌	0844C	04214
㓺	034FA	04215
犍	0728D	04216
牋	0724B	04217
湔	06E54	04218
䋗	042D7	04219
瑊	0744A	04220
搛	0641B	04221
蒹	084B9	04222
椷	06937	04223
椾	0693E	04224
煎	0714E	04225
𢳚	22CDA	04226
監	076E3	04227
箋	07B8B	04228
鳽	09CFD	04229
蕳	08573	04230
樫	06A2B	04231
鋑	092D1	04232
𪊑	2A291	04233
熞	0719E	04234
緘	07DD8	04235
㔋	0350B	04236
熸	071B8	04237
縑	07E11	04238
麉	09E89	04239
艱	08271	04240
鞬	097AC	04241
黚	09EDA	04242
馢	099A2	04243
餰	09930	04244
礛	0791B	04245
鵳	09D73	04246
瀸	07038	04247
櫼	06AFC	04248
殲	06BB2	04249
鶼	09DBC	04250
籛	07C5B	04251
鰹	09C39	04252
虃	08643	04253
韉	097C9	04254
鑯	0946F	04255
𪙨	2A668	04256
𪒹	2A4B9	04257
囝	056DD	04258
柬	067EC	04259
挸	06338	04260
梘	06898	04261
帴	05E34	04262
湕	06E55	04263
揀	063C0	04264
揃	063C3	04265
減	06E1B	04266
暕	06695	04267
筧	07B67	04268
絸	07D78	04269
戩	06229	04270
儉	05109	04271
翦	07FE6	04272
橏	06A4F	04273
檢	06AA2	04274
𨢑	28891	04275
蹇	08E47	04276
謇	08B07	04277
襇	08947	04278
繭	07E6D	04279
瞼	077BC	04280
簡	07C21	04281
䉍	0424D	04282
鬋	09B0B	04283
蠒	08812	04284
𡾰	21FB0	04285
𧬯	27B2F	04286
瀽	0703D	04287
𢺃	22E83	04288
鹻	09E7B	04289
㶕	03D95	04290
譾	08B7E	04291
襺	0897A	04292
𧟉	277C9	04293
鹼	09E7C	04294
𧮈	27B88	04295
件	04EF6	04296
見	0898B	04297
建	05EFA	04298
荐	08350	04299
牮	0726E	04300
洊	06D0A	04301
珔	073D4	04302
栫	0682B	04303
俴	04FF4	04304
健	05065	04305
㣤	038E4	04306
徤	05FA4	04307
釰	091F0	04308
葥	08465	04309
楗	06957	04310
臶	081F6	04311
間	09593	04312
閒	09592	04313
毽	06BFD	04314
腱	08171	04315
寋	05BCB	04316
蔪	0852A	04317
𥯦	25BE6	04318
僭	050ED	04319
漸	06F38	04320
賤	08CE4	04321
踐	08E10	04322
𡼏	21F0F	04323
箭	07BAD	04324
劍	0528D	04325
諓	08AD3	04326
𤾕	24F95	04327
澗	06F97	04328
薦	085A6	04329
鋻	092FB	04330
鍵	09375	04331
餞	0991E	04332
諫	08AEB	04333
𦾶	26FB6	04334
鍳	09373	04335
磵	078F5	04336
瞷	077B7	04337
螹	087B9	04338
檻	06ABB	04339
濺	06FFA	04340
鏩	093E9	04341
艦	08266	04342
鐧	09427	04343
轞	08F5E	04344
鑒	09452	04345
鑑	09451	04346
江	06C5F	04347
𢪇	22A87	04348
茳	08333	04349
姜	059DC	04350
豇	08C47	04351
畕	07555	04352
將	05C07	04353
畺	0757A	04354
僵	050F5	04355
漿	06F3F	04356
壃	058C3	04357
薑	08591	04358
橿	06A7F	04359
殭	06BAD	04360
螿	087BF	04361
礓	07913	04362
䕬	0456C	04363
疆	07586	04364
繮	07E6E	04365
𩝫	2976B	04366
韁	097C1	04367
𧅁	27141	04368
鱂	09C42	04369
傋	0508B	04370
𤟌	247CC	04371
蔣	08523	04372
勥	052E5	04373
㢡	038A1	04374
奬	0596C	04375
槳	069F3	04376
獎	0734E	04377
耩	08029	04378
膙	08199	04379
講	08B1B	04380
顜	0985C	04381
匠	05320	04382
弜	05F1C	04383
降	0964D	04384
洚	06D1A	04385
袶	088B6	04386
弶	05F36	04387
𨟻	287FB	04388
絳	07D73	04389
滰	06EF0	04390
嵹	05D79	04391
𤖕	24595	04392
𪀘	2A018	04393
糨	07CE8	04394
醬	091AC	04395
交	04EA4	04396
郊	090CA	04397
茮	0832E	04398
茭	0832D	04399
𥄉	25109	04400
䢒	04892	04401
姣	059E3	04402
𣐹	23439	04403
椒	06912	04404
蛟	086DF	04405
焦	07126	04406
𧣦	278E6	04407
嘄	05604	04408
僬	050EC	04409
𣻏	23ECF	04410
蕎	0854E	04411
蕉	08549	04412
嶕	05D95	04413
嶣	05DA3	04414
膠	081A0	04415
澆	06F86	04416
憍	0618D	04417
嬌	05B0C	04418
膲	081B2	04419
憿	061BF	04420
礁	07901	04421
蟂	087C2	04422
𪁉	2A049	04423
鮫	09BAB	04424
鵁	09D41	04425
轇	08F47	04426
蟭	087ED	04427
𡂢	210A2	04428
簥	07C25	04429
㶀	03D80	04430
𨶲	28DB2	04431
鐎	0940E	04432
𪚰	2A6B0	04433
驕	09A55	04434
鷮	09DEE	04435
鷦	09DE6	04436
