#漢字	Unicode	序號	備注
狂	72C2	2493	
狀	72C0	2494	
狎	72CE	2495	
狙	72D9	2496	
狗	72D7	2497	
狐	72D0	2498	
狩	72E9	2499	
狡	72E1	2500	
狠	72E0	2501	
狼	72FC	2502	
狹	72F9	2503	
狽	72FD	2504	
貍	8C8D	2505	⿰豸里
狸	72F8	2505V	⿰犭里
狷	72F7	2506	
猜	731C	2507	
猛	731B	2508	
猖	7316	2509	
猙	7319	2510	
猶	7336	2511	
猥	7325	2512	
猩	7329	2513	
猴	7334	2514	
猷	7337	2515	
猿	733F	2516	
猾	733E	2517	
獅	7345	2518	
獄	7344	2519	
獐	7350	2520	
獎	734E	2521	
獗	7357	2522	
獨	7368	2523	
獰	7370	2524	
獲	7372	2525	
獷	7377	2526	
獵	7375	2527	
獸	7378	2528	
獺	737A	2529	
獻	737B	2530	
玀	7380	2531	
玄	7384	2532	
率	7387	2533	
王	738B	2534	
玉	7389	2535	
玖	7396	2536	
玟	739F	2537	
玩	73A9	2538	
玫	73AB	2539	
玷	73B7	2540	
珊	73CA	2541	
玻	73BB	2542	
玲	73B2	2543	
珍	73CD	2544	
珀	73C0	2545	
玳	73B3	2546	
班	73ED	2547	
珮	73EE	2548	
珠	73E0	2549	
琉	7409	2550	
琅	7405	2551	
琊	740A	2552	
球	7403	2553	
理	7406	2554	
現	73FE	2555	
琺	743A	2556	
琪	742A	2557	
琳	7433	2558	
琢	7422	2559	
琨	7428	2560	
琶	7436	2561	
琥	7425	2562	
琴	7434	2563	
琦	7426	2564	
瑯	746F	2565	
瑁	7441	2566	
琿	743F	2567	
瑚	745A	2568	
瑕	7455	2569	
瑟	745F	2570	
瑞	745E	2571	
瑛	745B	2572	
瑙	7459	2573	
瑜	745C	2574	
瑰	7470	2575	
瑪	746A	2576	
瑣	7463	2577	
瑤	7464	2578	
瑩	7469	2579	
璋	748B	2580	
璃	7483	2581	
璜	749C	2582	
璣	74A3	2583	
環	74B0	2584	
璦	74A6	2585	
璧	74A7	2586	
璽	74BD	2587	
瓊	74CA	2588	
瓏	74CF	2589	
瓜	74DC	2590	
瓠	74E0	2591	
瓢	74E2	2592	
瓣	74E3	2593	
瓦	74E6	2594	
瓶	74F6	2595	
瓷	74F7	2596	
甄	7504	2597	
甌	750C	2598	
甕	7515	2599	
甘	7518	2600	
甚	751A	2601	
甜	751C	2602	
生	751F	2603	
產	7522	2604	
甦	7526	2605	
甥	7525	2606	
用	7528	2607	
甩	7529	2608	
甬	752C	2609	
甫	752B	2610	
甭	752D	2611	
田	7530	2612	
由	7531	2613	
甲	7532	2614	
申	7533	2615	
男	7537	2616	
甸	7538	2617	
畏	754F	2618	
界	754C	2619	
畔	7554	2620	
畝	755D	2621	
畜	755C	2622	
畚	755A	2623	
留	7559	2624	
畦	7566	2625	
異	7570	2626	
略	7565	2627	⿰田各
畧	7567	2627V	⿱田各
畢	7562	2628	
畫	756B	2629	
番	756A	2630	
畸	7578	2631	
當	7576	2632	
疇	7587	2633	
疆	7586	2634	
疊	758A	2635	
疋	758B	2636	
疎	758E	2637	⿰𤴔束
疏	758F	2637V	⿰𤴔㐬
疑	7591	2638	
疝	759D	2639	
疙	7599	2640	
疚	759A	2641	
疤	75A4	2642	
疫	75AB	2643	
疥	75A5	2644	
疾	75BE	2645	
病	75C5	2646	
症	75C7	2647	
疳	75B3	2648	
疽	75BD	2649	
疲	75B2	2650	
疼	75BC	2651	
疹	75B9	2652	
痔	75D4	2653	
痕	75D5	2654	
疵	75B5	2655	
痊	75CA	2656	
痛	75DB	2657	
痣	75E3	2658	
痙	75D9	2659	
痘	75D8	2660	
痞	75DE	2661	
痢	75E2	2662	
瘀	7600	2663	
痰	75F0	2664	
瘁	7601	2665	
痳	75F3	2666	
痱	75F1	2667	
痺	75FA	2668	
痿	75FF	2669	
痴	75F4	2670	⿸疒知
癡	7661	2670V	⿸疒疑
瘧	7627	2671	
瘍	760D	2672	
瘋	760B	2673	
瘉	7609	2674	⿸疒俞
癒	7652	2674V	⿸疒愈
瘓	7613	2675	
瘐	7610	2676	
瘟	761F	2677	
瘩	7629	2678	
瘠	7620	2679	
瘤	7624	2680	
瘡	7621	2681	
瘴	7634	2682	
瘸	7638	2683	
癆	7646	2684	
癌	764C	2685	
療	7642	2686	
癖	7656	2687	
癘	7658	2688	
癢	7662	2689	
癥	7665	2690	
癩	7669	2691	
癮	766E	2692	
癬	766C	2693	
癱	7671	2694	
癲	7672	2695	
癸	7678	2696	
登	767B	2697	
發	767C	2698	
白	767D	2699	
百	767E	2700	
皂	7682	2701	
的	7684	2702	
皇	7687	2703	
皆	7686	2704	
皈	7688	2705	
皎	768E	2706	
皖	7696	2707	
皓	7693	2708	
皚	769A	2709	
皮	76AE	2710	
皰	76B0	2711	
皴	76B4	2712	
皺	76BA	2713	
皿	76BF	2714	
盂	76C2	2715	
盈	76C8	2716	
盃	76C3	2717	
盆	76C6	2718	
益	76CA	2719	
盍	76CD	2720	
盎	76CE	2721	
盔	76D4	2722	
盛	76DB	2723	
盒	76D2	2724	
盜	76DC	2725	
盞	76DE	2726	
盟	76DF	2727	
盡	76E1	2728	
監	76E3	2729	
盤	76E4	2730	
盧	76E7	2731	
盥	76E5	2732	
盪	76EA	2733	
目	76EE	2734	
盯	76EF	2735	
盲	76F2	2736	
直	76F4	2737	
盹	76F9	2738	
相	76F8	2739	
眉	7709	2740	
省	7701	2741	
看	770B	2742	
盾	76FE	2743	
盼	76FC	2744	
眩	7729	2745	
真	771F	2746	
眠	7720	2747	
眨	7728	2748	
眷	7737	2749	
眼	773C	2750	
眶	7736	2751	
眾	773E	2752	
眸	7738	2753	
眺	773A	2754	
着	7740	2755	
睏	774F	2756	
睛	775B	2757	
睫	776B	2758	
睦	7766	2759	
睞	775E	2760	
睹	7779	2761	
督	7763	2762	
睬	776C	2763	
睜	775C	2764	
睥	7765	2765	
睨	7768	2766	
睽	777D	2767	
瞄	7784	2768	
睿	777F	2769	
睾	777E	2770	
睡	7761	2771	
瞎	778E	2772	
瞇	7787	2773	
瞑	7791	2774	
瞌	778C	2775	
瞞	779E	2776	
瞟	779F	2777	
瞠	77A0	2778	
瞥	77A5	2779	
瞳	77B3	2780	
瞪	77AA	2781	
瞰	77B0	2782	
瞭	77AD	2783	
瞬	77AC	2784	
瞧	77A7	2785	
瞽	77BD	2786	
瞿	77BF	2787	
瞻	77BB	2788	
矇	77C7	2789	
矓	77D3	2790	
矗	77D7	2791	
矚	77DA	2792	
矛	77DB	2793	
矜	77DC	2794	
矢	77E2	2795	
矣	77E3	2796	
知	77E5	2797	
矩	77E9	2798	
短	77ED	2799	
矮	77EE	2800	
矯	77EF	2801	
石	77F3	2802	
矽	77FD	2803	
研	7814	2804	
砌	780C	2805	
砂	7802	2806	
砍	780D	2807	
砰	7830	2808	
砸	7838	2809	
砝	781D	2810	
砧	7827	2811	
破	7834	2812	
砥	7825	2813	
砭	782D	2814	
砲	7832	2815	
硃	7843	2816	
硫	786B	2817	
硬	786C	2818	
硝	785D	2819	
硯	786F	2820	
碎	788E	2821	
碰	78B0	2822	
碗	7897	2823	
碘	7898	2824	
碌	788C	2825	
碉	7889	2826	
硼	787C	2827	
碑	7891	2828	
碟	789F	2829	
碧	78A7	2830	
碩	78A9	2831	
碳	78B3	2832	
磋	78CB	2833	
磅	78C5	2834	
確	78BA	2835	
磁	78C1	2836	
磊	78CA	2837	
碾	78BE	2838	
磕	78D5	2839	
碼	78BC	2840	
磐	78D0	2841	
磨	78E8	2842	
磚	78DA	2843	
磬	78EC	2844	
磷	78F7	2845	
磺	78FA	2846	
磴	78F4	2847	
磯	78EF	2848	
礁	7901	2849	
礎	790E	2850	
礙	7919	2851	
礦	7926	2852	
礪	792A	2853	
礬	792C	2854	
礫	792B	2855	
示	793A	2856	
社	793E	2857	
祀	7940	2858	
祁	7941	2859	
祆	7946	2860	
祉	7949	2861	
祈	7948	2862	
祇	7947	2863	
祕	7955	2864	
祠	7960	2865	
祝	795D	2866	
祐	7950	2867	
祖	7956	2868	
神	795E	2869	
祚	795A	2870	
祗	7957	2871	
祟	795F	2872	
祥	7965	2873	
票	7968	2874	
祭	796D	2875	
視	8996	2876	
祺	797A	2877	
祿	797F	2878	
禁	7981	2879	
禎	798E	2880	
福	798F	2881	
禍	798D	2882	
禦	79A6	2883	
禧	79A7	2884	
禪	79AA	2885	
禮	79AE	2886	
禱	79B1	2887	
禺	79BA	2888	
萬	842C	2889	
禽	79BD	2890	
禾	79BE	2891	
私	79C1	2892	
秀	79C0	2893	
禿	79BF	2894	
秉	79C9	2895	
科	79D1	2896	
秒	79D2	2897	
秋	79CB	2898	
秤	79E4	2899	
秣	79E3	2900	
秦	79E6	2901	
秧	79E7	2902	
租	79DF	2903	
秩	79E9	2904	
移	79FB	2905	
稅	7A05	2906	⿰禾⿱八兄
税	7A0E	2906T	⿰禾⿱丷兄
稍	7A0D	2907	
稈	7A08	2908	
程	7A0B	2909	
稀	7A00	2910	
稜	7A1C	2911	
稟	7A1F	2912	
稚	7A1A	2913	
稠	7A20	2914	
稔	7A14	2915	
種	7A2E	2916	
稱	7A31	2917	
稿	7A3F	2918	
稼	7A3C	2919	
穀	7A40	2920	
稽	7A3D	2921	
稷	7A37	2922	
稻	7A3B	2923	
積	7A4D	2924	
穎	7A4E	2925	
穇	7A47	2926	
穌	7A4C	2927	
穗	7A57	2928	
穡	7A61	2929	
穢	7A62	2930	
穫	7A6B	2931	
穩	7A69	2932	
穴	7A74	2933	
究	7A76	2934	
空	7A7A	2935	
穹	7A79	2936	
穿	7A7F	2937	
