#漢字	Unicode	序號	備注
舉	8209	3374V	⿱與𰀁
舊	820A	3375	
舌	820C	3376	
舍	820D	3377	
舐	8210	3378	
舒	8212	3379	
舔	8214	3380	
舛	821B	3381	
舜	821C	3382	
舞	821E	3383	
舟	821F	3384	
舢	8222	3385	
航	822A	3386	
舫	822B	3387	
舨	8228	3388	
般	822C	3389	
舵	8235	3390	
舷	8237	3391	
舶	8236	3392	
船	8239	3393	
艇	8247	3394	
艘	8258	3395	
艙	8259	3396	
艦	8266	3397	
艮	826E	3398	
良	826F	3399	
艱	8271	3400	
色	8272	3401	
艾	827E	3402	
芒	8292	3403	
芋	828B	3404	
芍	828D	3405	
芳	82B3	3406	
芝	829D	3407	
芙	8299	3408	
芭	82AD	3409	
芽	82BD	3410	
芟	829F	3411	
芹	82B9	3412	
花	82B1	3413	
芬	82AC	3414	
芥	82A5	3415	
芻	82BB	3416	
苧	82E7	3417	
范	8303	3418	
茅	8305	3419	
苣	82E3	3420	
苛	82DB	3421	
苦	82E6	3422	
茄	8304	3423	
若	82E5	3424	
茂	8302	3425	
茉	8309	3426	
苒	82D2	3427	
苗	82D7	3428	
英	82F1	3429	
茁	8301	3430	
苔	82D4	3431	
苑	82D1	3432	
苞	82DE	3433	
苓	82D3	3434	
苟	82DF	3435	
茫	832B	3436	
荒	8352	3437	
荔	8354	3438	
荊	834A	3439	
茸	8338	3440	
荐	8350	3441	⿱艹存
薦	85A6	3441V	⿱艹廌
茵	8335	3442	
茴	8334	3443	
草	8349	3444	
荏	834F	3445	
茹	8339	3446	
茶	8336	3447	
茗	8317	3448	
茲	8332	3449	
荀	8340	3450	
茱	8331	3451	
荃	8343	3452	
莎	838E	3453	
莞	839E	3454	
莘	8398	3455	
荸	8378	3456	
莢	83A2	3457	
莖	8396	3458	
莽	83BD	3459	
莫	83AB	3460	
莒	8392	3461	
莊	838A	3462	
莓	8393	3463	
莉	8389	3464	
莠	83A0	3465	
荷	8377	3466	
荻	837B	3467	
荼	837C	3468	
菩	83E9	3469	
萃	8403	3470	
菸	83F8	3471	
萍	840D	3472	
菠	83E0	3473	
菅	83C5	3474	
萋	840B	3475	
菁	83C1	3476	
華	83EF	3477	
菱	83F1	3478	
著	8457	3479	
萊	840A	3480	
菰	83F0	3481	
萌	840C	3482	
菌	83CC	3483	
菽	83FD	3484	
菲	83F2	3485	
菊	83CA	3486	
萸	8438	3487	
萎	840E	3488	
萄	8404	3489	
菜	83DC	3490	
蒂	8482	3491	
葷	8477	3492	
落	843D	3493	
萱	8431	3494	
葵	8475	3495	
葦	8466	3496	
葫	846B	3497	
葉	8449	3498	
葬	846C	3499	
葛	845B	3500	
萼	843C	3501	
萵	8435	3502	
葱	8471	3503	
葡	8461	3504	
董	8463	3505	
葩	8469	3506	
蓑	84D1	3507	
蓉	84C9	3508	
蒿	84BF	3509	
蓆	84C6	3510	
蓄	84C4	3511	
蒙	8499	3512	
蒞	849E	3513	
蒲	84B2	3514	
蒜	849C	3515	
蓋	84CB	3516	
蒸	84B8	3517	
蓀	84C0	3518	
蓓	84D3	3519	
蒐	8490	3520	
蒼	84BC	3521	
蔗	8517	3522	
蔽	853D	3523	
蔚	851A	3524	
蓮	84EE	3525	
蔭	852D	3526	
蓬	84EC	3527	
蔓	8513	3528	
蔑	8511	3529	
蔣	8523	3530	
蔡	8521	3531	
蔔	8514	3532	
蔬	852C	3533	
蕊	854A	3534	
蕩	8569	3535	
蕙	8559	3536	
蕨	8568	3537	
蕃	8543	3538	
蕉	8549	3539	
蕪	856A	3540	
薪	85AA	3541	
薄	8584	3542	
蕭	856D	3543	
蕾	857E	3544	
薑	8591	3545	
薔	8594	3546	
薯	85AF	3547	
薜	859C	3548	
薇	8587	3549	
薩	85A9	3550	
藍	85CD	3551	
藉	85C9	3552	
薰	85B0	3553	
薶	85B6	3554	
藏	85CF	3555	
藩	85E9	3556	
藝	85DD	3557	
藪	85EA	3558	
藕	85D5	3559	
藤	85E4	3560	
藥	85E5	3561	
蘊	860A	3562	
藹	85F9	3563	
蘑	8611	3564	
藻	85FB	3565	
蘆	8606	3566	
蘋	860B	3567	
藺	85FA	3568	
蘇	8607	3569	
蘭	862D	3570	
蘚	861A	3571	
蘸	8638	3572	
蘿	863F	3573	
虎	864E	3574	
虐	8650	3575	
虔	8654	3576	
處	8655	3577	
彪	5F6A	3578	
虛	865B	3579	
虞	865E	3580	
虜	865C	3581	
號	865F	3582	
虧	8667	3583	
虫	866B	3584	
虱	8671	3585	
虯	866F	3586	
虹	8679	3587	
蚊	868A	3588	
蚪	86AA	3589	
蚓	8693	3590	
蚤	86A4	3591	
蚩	86A9	3592	
蚌	868C	3593	
蚣	86A3	3594	
蛇	86C7	3595	
蛀	86C0	3596	
蚶	86B6	3597	
蛋	86CB	3598	
蛆	86C6	3599	
蚱	86B1	3600	
蚯	86AF	3601	
蛟	86DF	3602	
蛙	86D9	3603	
蛭	86ED	3604	
蛔	86D4	3605	
蛛	86DB	3606	
蛤	86E4	3607	
蛻	86FB	3608	⿰虫⿱八兄
蜕	8715	3608T	⿰虫⿱丷兄
蛹	86F9	3609	
蜇	8707	3610	
蜃	8703	3611	
蜈	8708	3612	
蜀	8700	3613	
蛾	86FE	3614	
蜂	8702	3615	
蜓	8713	3616	
蜚	871A	3617	
蜿	873F	3618	
蜜	871C	3619	
蜻	873B	3620	
蜢	8722	3621	
蜥	8725	3622	
蜴	8734	3623	
蜘	8718	3624	
蝕	8755	3625	
螂	8782	3626	
蝙	8759	3627	
蝴	8774	3628	
蝶	8776	3629	
蝠	8760	3630	
蝦	8766	3631	
蝨	8768	3632	
蝸	8778	3633	
蝗	8757	3634	
蝌	874C	3635	
螃	8783	3636	
螟	879F	3637	
螢	87A2	3638	
螞	879E	3639	
融	878D	3640	
蟀	87C0	3641	
蟑	87D1	3642	
螫	87AB	3643	
蟒	87D2	3644	
蟆	87C6	3645	
螳	87B3	3646	
螻	87BB	3647	
螺	87BA	3648	
蟈	87C8	3649	
蟋	87CB	3650	
蟯	87EF	3651	
蟬	87EC	3652	
蟲	87F2	3653	
蟻	87FB	3654	
蠅	8805	3655	
蠍	880D	3656	
蠏	880F	3657	
蠔	8814	3658	
蠕	8815	3659	
蠣	8823	3660	
蠢	8822	3661	
蠡	8821	3662	
蠟	881F	3663	
蠱	8831	3664	
蠶	8836	3665	
蠹	8839	3666	
蠻	883B	3667	
血	8840	3668	
行	884C	3669	
衍	884D	3670	
術	8853	3671	
街	8857	3672	
衙	8859	3673	
衝	885D	3674	
衛	885B	3675	
衡	8861	3676	
衢	8862	3677	
衣	8863	3678	
初	521D	3679	
表	8868	3680	
衫	886B	3681	
袂	8882	3682	
衰	8870	3683	
衷	8877	3684	
袁	8881	3685	
袒	8892	3686	
袖	8896	3687	
被	88AB	3688	
袍	888D	3689	
袈	8888	3690	
袞	889E	3691	
袋	888B	3692	
袱	88B1	3693	
裁	88C1	3694	
裂	88C2	3695	
裙	88D9	3696	
補	88DC	3697	
裕	88D5	3698	
裟	88DF	3699	
裘	88D8	3700	
裔	88D4	3701	
裝	88DD	3702	
裏	88CF	3703	⿱𫟯𧘇
裡	88E1	3703V	⿰衤里
裊	88CA	3704	
褂	8902	3705	
褚	891A	3706	
裸	88F8	3707	
裨	88E8	3708	
裳	88F3	3709	
裴	88F4	3710	
裹	88F9	3711	
製	88FD	3712	
褐	8910	3713	
複	8907	3714	
褓	8913	3715	
褲	8932	3716	
褪	892A	3717	
褫	892B	3718	
褥	8925	3719	
褟	891F	3720	
褸	8938	3721	
褻	893B	3722	
襄	8944	3723	
褒	8912	3724	⿳亠⿰亻呆𧘇
襃	8943	3724T	⿳亠⿰⿷#(丿𠃊>)一呆𧘇
襟	895F	3725	
襠	8960	3726	
襖	8956	3727	
襤	8964	3728	
襪	896A	3729	
襯	896F	3730	
襲	8972	3731	
西	897F	3732	
要	8981	3733	
覃	8983	3734	
覆	8986	3735	
見	898B	3736	
規	898F	3737	
覓	8993	3738	
親	89AA	3739	
覦	89A6	3740	
覬	89AC	3741	
覲	89B2	3742	
覺	89BA	3743	
覽	89BD	3744	
觀	89C0	3745	
角	89D2	3746	
解	89E3	3747	
觴	89F4	3748	
觸	89F8	3749	
言	8A00	3750	
計	8A08	3751	
訂	8A02	3752	
訃	8A03	3753	
記	8A18	3754	
訏	8A0F	3755	
討	8A0E	3756	
訌	8A0C	3757	
訕	8A15	3758	
訊	8A0A	3759	
託	8A17	3760	
訓	8A13	3761	
訖	8A16	3762	
訪	8A2A	3763	
訝	8A1D	3764	
訣	8A23	3765	
訥	8A25	3766	
許	8A31	3767	
設	8A2D	3768	
訟	8A1F	3769	
訛	8A1B	3770	⿰言化
譌	8B4C	3770V	⿰言爲
註	8A3B	3771	
詠	8A60	3772	
評	8A55	3773	
詞	8A5E	3774	
詁	8A41	3775	
詔	8A54	3776	
詛	8A5B	3777	
詐	8A50	3778	
詆	8A46	3779	
訴	8A34	3780	
診	8A3A	3781	
詫	8A6B	3782	
該	8A72	3783	
詳	8A73	3784	
試	8A66	3785	
詩	8A69	3786	
詰	8A70	3787	
誇	8A87	3788	
詼	8A7C	3789	
詣	8A63	3790	
誠	8AA0	3791	
話	8A71	3792	
誅	8A85	3793	
詭	8A6D	3794	
詢	8A62	3795	
詮	8A6E	3796	
詬	8A6C	3797	
詹	8A79	3798	
說	8AAA	3799	⿰言⿱八兄
説	8AAC	3799T	⿰言⿱丷兄
誦	8AA6	3800	
誌	8A8C	3801	
語	8A9E	3802	
誣	8AA3	3803	
認	8A8D	3804	
誡	8AA1	3805	
誓	8A93	3806	
誤	8AA4	3807	
誥	8AA5	3808	
誨	8AA8	3809	
誘	8A98	3810	
誑	8A91	3811	
誼	8ABC	3812	
諒	8AD2	3813	
談	8AC7	3814	
諄	8AC4	3815	
請	8ACB	3816	
諸	8AF8	3817	
課	8AB2	3818	
誕	8A95	3819	
諉	8AC9	3820	
諂	8AC2	3821	
調	8ABF	3822	
誰	8AB0	3823	
論	8AD6	3824	
諍	8ACD	3825	
諦	8AE6	3826	
諺	8AFA	3827	
諮	8AEE	3828	
諱	8AF1	3829	
謀	8B00	3830	
諜	8ADC	3831	
諫	8AEB	3832	
諧	8AE7	3833	
諾	8AFE	3834	
謁	8B01	3835	
謂	8B02	3836	
諷	8AF7	3837	
諭	8AED	3838	
謎	8B0E	3839	
謗	8B17	3840	
謙	8B19	3841	
講	8B1B	3842	
謊	8B0A	3843	
謠	8B20	3844	
謝	8B1D	3845	
謄	8B04	3846	
謨	8B28	3847	
謹	8B39	3848	
謬	8B2C	3849	
譜	8B5C	3850	
識	8B58	3851	
譁	8B41	3852	
證	8B49	3853	
譚	8B5A	3854	
譎	8B4E	3855	
譏	8B4F	3856	
議	8B70	3857	
譬	8B6C	3858	
警	8B66	3859	
譯	8B6F	3860	
護	8B77	3861	
譴	8B74	3862	
譽	8B7D	3863	
讀	8B80	3864	
變	8B8A	3865	
讓	8B93	3866	
讒	8B92	3867	
讖	8B96	3868	
讚	8B9A	3869	
谷	8C37	3870	
豁	8C41	3871	
谿	8C3F	3872	
豆	8C46	3873	
豈	8C48	3874	
豉	8C49	3875	
豌	8C4C	3876	
豎	8C4E	3877	
豐	8C50	3878	
豔	8C54	3879	⿰豐盍
艶	8276	3879V	⿰豐色
豕	8C55	3880	
豚	8C5A	3881	
象	8C61	3882	
豢	8C62	3883	
豪	8C6A	3884	
豬	8C6C	3885	
豫	8C6B	3886	
豺	8C7A	3887	
豹	8C79	3888	
貂	8C82	3889	
貉	8C89	3890	
貌	8C8C	3891	
貓	8C93	3892	
貝	8C9D	3893	
貞	8C9E	3894	
負	8CA0	3895	
財	8CA1	3896	
貢	8CA2	3897	
販	8CA9	3898	
責	8CAC	3899	
貫	8CAB	3900	
貨	8CA8	3901	
貪	8CAA	3902	
貧	8CA7	3903	
貯	8CAF	3904	
貳	8CB3	3905	
賁	8CC1	3906	
費	8CBB	3907	
賀	8CC0	3908	
貼	8CBC	3909	
貴	8CB4	3910	
買	8CB7	3911	
貽	8CBD	3912	
貶	8CB6	3913	
貿	8CBF	3914	
貸	8CB8	3915	
賅	8CC5	3916	
資	8CC7	3917	
賊	8CCA	3918	
賈	8CC8	3919	
貲	8CB2	3920	
賄	8CC4	3921	
賃	8CC3	3922	
賂	8CC2	3923	
賓	8CD3	3924	
賑	8CD1	3925	
賒	8CD2	3926	
賠	8CE0	3927	
賦	8CE6	3928	
賤	8CE4	3929	
賬	8CEC	3930	
賭	8CED	3931	
賢	8CE2	3932	
賣	8CE3	3933	
賞	8CDE	3934	
賜	8CDC	3935	
質	8CEA	3936	
賴	8CF4	3937	
賺	8CFA	3938	
賽	8CFD	3939	
購	8CFC	3940	
贅	8D05	3941	
贈	8D08	3942	
贋	8D0B	3943	
贊	8D0A	3944	
贏	8D0F	3945	
贍	8D0D	3946	
贓	8D13	3947	
贖	8D16	3948	
贛	8D1B	3949	
赤	8D64	3950	
赧	8D67	3951	
赦	8D66	3952	
赫	8D6B	3953	
赭	8D6D	3954	
走	8D70	3955	
赴	8D74	3956	
赳	8D73	3957	
起	8D77	3958	
越	8D8A	3959	
超	8D85	3960	
趁	8D81	3961	
趙	8D99	3962	
趕	8D95	3963	
趣	8DA3	3964	
趟	8D9F	3965	
趨	8DA8	3966	
足	8DB3	3967	
趴	8DB4	3968	
趾	8DBE	3969	
跎	8DCE	3970	
距	8DDD	3971	
跋	8DCB	3972	
跚	8DDA	3973	
跑	8DD1	3974	
跌	8DCC	3975	
跛	8DDB	3976	
跆	8DC6	3977	
跡	8DE1	3978	⿰𧾷亦
迹	8FF9	3978V	⿺辶亦
蹟	8E5F	3978V2	⿰𧾷責
跟	8DDF	3979	
跨	8DE8	3980	
路	8DEF	3981	
跳	8DF3	3982	
跺	8DFA	3983	
跪	8DEA	3984	
跼	8DFC	3985	
踫	8E2B	3986	
踐	8E10	3987	
踝	8E1D	3988	
踢	8E22	3989	
踏	8E0F	3990	
踩	8E29	3991	
踟	8E1F	3992	
蹄	8E44	3993	
踱	8E31	3994	
踴	8E34	3995	
蹂	8E42	3996	
踹	8E39	3997	
踵	8E35	3998	
蹉	8E49	3999	
蹋	8E4B	4000	
蹈	8E48	4001	
蹊	8E4A	4002	
蹣	8E63	4003	
蹦	8E66	4004	
蹙	8E59	4005	
蹤	8E64	4006	⿰𧾷從
踪	8E2A	4006V	⿰𧾷宗
蹲	8E72	4007	
蹬	8E6C	4008	
蹺	8E7A	4009	
躇	8E87	4010	
蹼	8E7C	4011	
蹶	8E76	4012	
躂	8E82	4013	
躁	8E81	4014	
躅	8E85	4015	
躉	8E89	4016	
躊	8E8A	4017	
躍	8E8D	4018	
躑	8E91	4019	
躡	8EA1	4020	
躪	8EAA	4021	
身	8EAB	4022	
躬	8EAC	4023	
躭	8EAD	4024	
躲	8EB2	4025	
躺	8EBA	4026	
軀	8EC0	4027	
車	8ECA	4028	
軋	8ECB	4029	
軍	8ECD	4030	
軌	8ECC	4031	
軒	8ED2	4032	
軔	8ED4	4033	
軛	8EDB	4034	
軟	8EDF	4035	⿰車欠
輭	8F2D	4035V	⿰車耎
軻	8EFB	4036	
軸	8EF8	4037	
軼	8EFC	4038	
較	8F03	4039	
載	8F09	4040	
軾	8EFE	4041	
輊	8F0A	4042	
輔	8F14	4043	
輒	8F12	4044	
輕	8F15	4045	
輓	8F13	4046	
輝	8F1D	4047	
輛	8F1B	4048	
輟	8F1F	4049	
輦	8F26	4050	
輩	8F29	4051	
輪	8F2A	4052	
輜	8F1C	4053	
輻	8F3B	4054	
輯	8F2F	4055	
輸	8F38	4056	
轄	8F44	4057	
輾	8F3E	4058	
轂	8F42	4059	
轅	8F45	4060	
輿	8F3F	4061	
轉	8F49	4062	
轍	8F4D	4063	
轔	8F54	4064	
轎	8F4E	4065	
轟	8F5F	4066	
轡	8F61	4067	
辛	8F9B	4068	
辜	8F9C	4069	
辟	8F9F	4070	
辣	8FA3	4071	
辦	8FA6	4072	
辨	8FA8	4073	
辭	8FAD	4074	
辯	8FAF	4075	
辰	8FB0	4076	
辱	8FB1	4077	
農	8FB2	4078	
迂	8FC2	4079	
迅	8FC5	4080	
迄	8FC4	4081	
巡	5DE1	4082	
迎	8FCE	4083	
返	8FD4	4084	
近	8FD1	4085	
述	8FF0	4086	
迦	8FE6	4087	
迢	8FE2	4088	
迪	8FEA	4089	
迥	8FE5	4090	
迫	8FEB	4091	
迤	8FE4	4092	
迭	8FED	4093	
迸	8FF8	4094	
送	9001	4095	
逆	9006	4096	
迷	8FF7	4097	
退	9000	4098	
迺	8FFA	4099	
迴	8FF4	4100	
逃	9003	4101	
追	8FFD	4102	
逅	9005	4103	
這	9019	4104	
通	901A	4105	
逗	9017	4106	
連	9023	4107	
速	901F	4108	
逝	901D	4109	
逐	9010	4110	
逕	9015	4111	
逍	900D	4112	
逞	901E	4113	
造	9020	4114	
透	900F	4115	
逢	9022	4116	
逖	9016	4117	
逛	901B	4118	
途	9014	4119	
逮	902E	4120	
逵	9035	4121	
週	9031	4122	
逸	9038	4123	
進	9032	4124	
運	904B	4125	
遊	904A	4126	
道	9053	4127	
遂	9042	4128	
遍	904D	4129	
達	9054	4130	
逼	903C	4131	
違	9055	4132	
遐	9050	4133	
遇	9047	4134	
遏	904F	4135	
過	904E	4136	
遑	9051	4137	
逾	903E	4138	
遁	9041	4139	
遠	9060	4140	
遘	9058	4141	
遜	905C	4142	
遣	9063	4143	
遙	9059	4144	
遞	905E	4145	
適	9069	4146	
遮	906E	4147	
遨	9068	4148	
遭	906D	4149	
遷	9077	4150	
遵	9075	4151	
遴	9074	4152	
選	9078	4153	
遲	9072	4154	
遼	907C	4155	
遺	907A	4156	
避	907F	4157	
遽	907D	4158	
還	9084	4159	
邁	9081	4160	
邂	9082	4161	
邀	9080	4162	
邇	9087	4163	
邊	908A	4164	
邐	9090	4165	
邏	908F	4166	
邑	9091	4167	
邕	9095	4168	
邢	90A2	4169	
邪	90AA	4170	
那	90A3	4171	
邦	90A6	4172	
邵	90B5	4173	
邸	90B8	4174	
邱	90B1	4175	
郊	90CA	4176	
郎	90CE	4177	
郁	90C1	4178	
郡	90E1	4179	
部	90E8	4180	
郭	90ED	4181	
都	90FD	4182	
鄂	9102	4183	
郵	90F5	4184	
鄉	9109	4185	
鄒	9112	4186	
鄙	9119	4187	
鄰	9130	4188	
鄭	912D	4189	
鄧	9127	4190	
鄱	9131	4191	
酉	9149	4192	
酋	914B	4193	
酊	914A	4194	
酒	9152	4195	
配	914D	4196	
酌	914C	4197	
酗	9157	4198	
酣	9163	4199	
酥	9165	4200	
酬	916C	4201	
酪	916A	4202	
酩	9169	4203	
酵	9175	4204	
酸	9178	4205	
酷	9177	4206	
醇	9187	4207	
醉	9189	4208	
醋	918B	4209	
醃	9183	4210	
醒	9192	4211	
醞	919E	4212	
醣	91A3	4213	
醜	919C	4214	
醫	91AB	4215	
醬	91AC	4216	
醺	91BA	4217	
釀	91C0	4218	
釁	91C1	4219	
采	91C7	4220	
釉	91C9	4221	
釋	91CB	4222	
里	91CC	4223	
重	91CD	4224	
野	91CE	4225	
量	91CF	4226	
釐	91D0	4227	
金	91D1	4228	
釘	91D8	4229	
針	91DD	4230	
釗	91D7	4231	
釜	91DC	4232	
釵	91F5	4233	
釦	91E6	4234	
釣	91E3	4235	
釧	91E7	4236	
鈕	9215	4237	
鈣	9223	4238	
鈍	920D	4239	
鈔	9214	4240	
鈉	9209	4241	
鈞	921E	4242	
鈐	9210	4243	
鈎	920E	4244	⿰金⿹勹厶
鉤	9264	4244T	⿰金⿹勹口
鈷	9237	4245	
鉗	9257	4246	
鈸	9238	4247	
鉀	9240	4248	
鈾	923E	4249	
鉛	925B	4250	
鉋	924B	4251	
鉑	9251	4252	
鈴	9234	4253	
銀	9280	4254	
銅	9285	4255	
銘	9298	4256	
銖	9296	4257	
銓	9293	4258	
銜	929C	4259	
銬	92AC	4260	
銻	92BB	4261	
銳	92B3	4262	⿰金⿱八兄
鋭	92ED	4262T	⿰金⿱丷兄
鋅	92C5	4263	
鋪	92EA	4264	
銷	92B7	4265	
鋤	92E4	4266	
鋁	92C1	4267	
銼	92BC	4268	
鋒	92D2	4269	
錠	9320	4270	
錶	9336	4271	
鋸	92F8	4272	
錳	9333	4273	
錯	932F	4274	
錢	9322	4275	
鋼	92FC	4276	
錫	932B	4277	
錄	9304	4278	
錚	931A	4279	
錐	9310	4280	
錦	9326	4281	
鍍	934D	4282	
鎂	9382	4283	
錨	9328	4284	
鍵	9375	4285	
鍊	934A	4286	
鍥	9365	4287	
鍋	934B	4288	
錘	9318	4289	
鍾	937E	4290	
鍬	936C	4291	
鍛	935B	4292	
鎔	9394	4293	
鎊	938A	4294	
鎮	93AE	4295	
鎖	9396	4296	
鎢	93A2	4297	
鎳	93B3	4298	
鏡	93E1	4299	
鏑	93D1	4300	
鏟	93DF	4301	
鏃	93C3	4302	
鏖	93D6	4303	
鏈	93C8	4304	
鏢	93E2	4305	
鏗	93D7	4306	
鏜	93DC	4307	
鏘	93D8	4308	
鐘	9418	4309	
鐃	9403	4310	
銹	92B9	4311	⿰金秀
鏽	93FD	4311V	⿰金肅
鐮	942E	4312	
鐳	9433	4313	
鐵	9435	4314	
鐺	943A	4315	
鐸	9438	4316	
鐲	9432	4317	
鑄	9444	4318	
鑑	9451	4319	⿰金監
鑒	9452	4319V	⿱𰯲金
鑣	9463	4320	
鑠	9460	4321	
鑲	9472	4322	
鑰	9470	4323	
鑾	947E	4324	
鑼	947C	4325	
鑽	947D	4326	
鑿	947F	4327	
長	9577	4328	
門	9580	4329	
閂	9582	4330	
閃	9583	4331	
閉	9589	4332	
閔	9594	4333	
閏	958F	4334	
開	958B	4335	
閑	9591	4336	
間	9593	4337	
閒	9592	4338	
閘	9598	4339	
閡	95A1	4340	
閨	95A8	4341	
閩	95A9	4342	
閣	95A3	4343	
閥	95A5	4344	
閤	95A4	4345	
閱	95B1	4346	⿵門⿱八兄
閲	95B2	4346T	⿵門⿱丷兄
閭	95AD	4347	
閻	95BB	4348	
闊	95CA	4349	
闋	95CB	4350	
闌	95CC	4351	
闈	95C8	4352	
闆	95C6	4353	
闔	95D4	4354	
闖	95D6	4355	
闐	95D0	4356	
關	95DC	4357	
闡	95E1	4358	
闢	95E2	4359	
阡	9621	4360	
防	9632	4361	
阮	962E	4362	
阱	9631	4363	
阪	962A	4364	
阜	961C	4365	
陀	9640	4366	
阿	963F	4367	
阻	963B	4368	
附	9644	4369	
限	9650	4370	
陋	964B	4371	
陌	964C	4372	
降	964D	4373	
院	9662	4374	
陣	9663	4375	
陡	9661	4376	
陜	965C	4377	
陛	965B	4378	
除	9664	4379	
陪	966A	4380	
陵	9675	4381	
陳	9673	4382	
陸	9678	4383	
陰	9670	4384	
陶	9676	4385	
陷	9677	4386	
隊	968A	4387	
隋	968B	4388	
階	968E	4389	
陽	967D	4390	
隅	9685	4391	
隆	9686	4392	
隍	968D	4393	
陲	9672	4394	
隘	9698	4395	
隔	9694	4396	
隕	9695	4397	
隙	9699	4398	
障	969C	4399	
際	969B	4400	
隧	96A7	4401	
隨	96A8	4402	
險	96AA	4403	
隱	96B1	4404	
隴	96B4	4405	
隸	96B8	4406	
隻	96BB	4407	
雀	96C0	4408	
雇	96C7	4409	
雁	96C1	4410	
雅	96C5	4411	
雄	96C4	4412	
集	96C6	4413	
雋	96CB	4414	
雍	96CD	4415	
雉	96C9	4416	
雌	96CC	4417	
雕	96D5	4418	
雖	96D6	4419	
雜	96DC	4420	
雙	96D9	4421	
雛	96DB	4422	
雞	96DE	4423	
難	96E3	4424	
離	96E2	4425	
雨	96E8	4426	
雪	96EA	4427	
雯	96EF	4428	
雲	96F2	4429	
雷	96F7	4430	
電	96FB	4431	
雹	96F9	4432	
零	96F6	4433	
需	9700	4434	
震	9707	4435	
霄	9704	4436	
霆	9706	4437	
霉	9709	4438	
霎	970E	4439	
霑	9711	4440	
霖	9716	4441	
霍	970D	4442	
霓	9713	4443	
霏	970F	4444	
霜	971C	4445	
霞	971E	4446	
霪	972A	4447	
霧	9727	4448	
霸	9738	4449	
霹	9739	4450	
露	9732	4451	
霽	973D	4452	
霾	973E	4453	
靄	9744	4454	
靂	9742	4455	
靈	9748	4456	
青	9752	4457	
靖	9756	4458	
靛	975B	4459	
靜	975C	4460	
非	975E	4461	
靠	9760	4462	
靡	9761	4463	
面	9762	4464	
靦	9766	4465	
靨	9768	4466	
革	9769	4467	
靶	9776	4468	
靴	9774	4469	
靼	977C	4470	
鞅	9785	4471	
鞍	978D	4472	
鞋	978B	4473	
鞏	978F	4474	
鞘	9798	4475	
鞠	97A0	4476	
鞣	97A3	4477	
鞦	97A6	4478	
鞭	97AD	4479	
韃	97C3	4480	
韁	97C1	4481	
韆	97C6	4482	
韋	97CB	4483	
靭	976D	4484	⿰革刃
韌	97CC	4484V	⿰韋刃
韓	97D3	4485	
韜	97DC	4486	
韭	97ED	4487	
音	97F3	4488	
章	7AE0	4489	
竟	7ADF	4490	
韶	97F6	4491	
韵	97F5	4492	⿰音勻
韻	97FB	4492V	⿰音員
響	97FF	4493	
頁	9801	4494	
頂	9802	4495	
頃	9803	4496	
項	9805	4497	
順	9806	4498	
須	9808	4499	
預	9810	4500	
頑	9811	4501	
頓	9813	4502	
頒	9812	4503	
頌	980C	4504	
頗	9817	4505	
領	9818	4506	
頡	9821	4507	
頰	9830	4508	
頸	9838	4509	
頻	983B	4510	
頭	982D	4511	
頤	9824	4512	
頷	9837	4513	
頹	9839	4514	
顆	9846	4515	
額	984D	4516	
顏	984F	4517	
題	984C	4518	
顎	984E	4519	
類	985E	4520	
願	9858	4521	
顛	985B	4522	
顧	9867	4523	
顫	986B	4524	
顯	986F	4525	
顰	9870	4526	
顱	9871	4527	
風	98A8	4528	
颯	98AF	4529	
颱	98B1	4530	
颳	98B3	4531	
颶	98B6	4532	
颺	98BA	4533	
颼	98BC	4534	
飄	98C4	4535	
飛	98DB	4536	
食	98DF	4537	
飢	98E2	4538	
飧	98E7	4539	
飪	98EA	4540	
飯	98EF	4541	
飩	98E9	4542	
飲	98F2	4543	
飭	98ED	4544	
飼	98FC	4545	
飴	98F4	4546	
飽	98FD	4547	
飾	98FE	4548	
餃	9903	4549	
餅	9905	4550	
餌	990C	4551	
餉	9909	4552	
養	990A	4553	
餓	9913	4554	
餒	9912	4555	
餘	9918	4556	
餐	9910	4557	
館	9928	4558	
餞	991E	4559	
餛	991B	4560	
餡	9921	4561	
餵	9935	4562	
餿	993F	4563	
餾	993E	4564	
餽	993D	4565	
饅	9945	4566	
饒	9952	4567	
饑	9951	4568	
饜	995C	4569	
饞	995E	4570	
首	9996	4571	
香	9999	4572	
馥	99A5	4573	
馨	99A8	4574	
馬	99AC	4575	
馮	99AE	4576	
馭	99AD	4577	
馳	99B3	4578	
馱	99B1	4579	
馴	99B4	4580	
駁	99C1	4581	
駝	99DD	4582	
駐	99D0	4583	
駕	99D5	4584	
駟	99DF	4585	
駛	99DB	4586	
駑	99D1	4587	
駒	99D2	4588	
駙	99D9	4589	
駭	99ED	4590	
駢	99E2	4591	
駱	99F1	4592	
騁	9A01	4593	
駿	99FF	4594	
騎	9A0E	4595	
騙	9A19	4596	
騖	9A16	4597	
騫	9A2B	4598	
騷	9A37	4599	
騰	9A30	4600	
驅	9A45	4601	
驃	9A43	4602	
驀	9A40	4603	
騾	9A3E	4604	
驕	9A55	4605	
驚	9A5A	4606	
驛	9A5B	4607	
驗	9A57	4608	
驟	9A5F	4609	
驢	9A62	4610	
驥	9A65	4611	
驪	9A6A	4612	
骨	9AA8	4613	
骯	9AAF	4614	
骰	9AB0	4615	
骷	9AB7	4616	
骸	9AB8	4617	
骼	9ABC	4618	
髏	9ACF	4619	
